last_price,bid_price,ask_price,bid_ask_spread,high_price,low_price,volume,vwap,rsi_14,macd,bb_upper,bb_middle,bb_lower,volume_acceleration,price_change_5m,momentum_1m,symbol
162.885,162.8,162.97,0.17,167.63,161.23,1456883.0,162.988,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HSY
100.48,100.47,100.49,0.02,100.7,100.16,742455.0,100.3991,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOBL
143.61,143.53,143.65,0.12,144.0,140.155,682740.0,142.8177,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LYV
96.83,96.8,96.86,0.06,96.96,95.55,804771.0,96.4594,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHRW
177.13,177.14,177.16,0.02,177.45,176.07,1347289.0,177.0007,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QUAL
221.46,221.39,221.48,0.09,223.55,219.3,3719328.0,222.0155,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GE
128.81,128.8,128.82,0.02,128.985,128.195,709065.0,128.6172,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VYM
204.44,204.39,204.49,0.1,207.42,202.26,1573145.0,205.0354,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DFS
70.9,70.88,70.9,0.02,71.23,69.86,1050450.0,70.815,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CIBR
75.19,75.13,75.22,0.09,76.54,73.76,1154695.0,74.6622,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MKC
56.72,56.7,56.74,0.04,57.04,55.73,1168824.0,56.5931,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EIX
572.03,571.8,572.63,0.83,574.11,558.45,525082.0,565.4313,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REGN
137.75,137.65,137.8,0.15,138.83,135.1,804719.0,137.473,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H
127.667,127.65,127.7,0.05,128.0,123.76,2304579.0,126.4189,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XOP
70.85,70.84,70.87,0.03,71.29,70.42,1087629.0,70.8252,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DD
97.105,97.09,97.12,0.03,97.85,92.26,7478904.0,95.8013,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANET
87.39,87.35,87.42,0.07,87.39,84.95,1026613.0,86.3818,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOGI
56.84,56.8,56.85,0.05,57.3357,54.25,590478.0,56.093,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RMBS
52.43,52.4,52.43,0.03,52.52,52.0,863615.0,52.3835,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SHLD
63.74,63.73,63.74,0.01,63.88,63.245,724747.0,63.6783,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TD
302.555,302.47,302.64,0.17,303.02,298.82,1595824.0,301.3316,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AXP
151.78,151.75,151.78,0.03,152.41,147.7,3011819.0,150.4773,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SPXL
87.94,87.91,87.95,0.04,88.2,87.055,500096.0,87.7631,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PFGC
107.36,107.32,107.4,0.08,107.625,105.2,927615.0,106.8189,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NTRS
102.4575,102.43,102.48,0.05,102.87,100.56,500175.0,102.1202,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DTM
173.17,173.02,173.2,0.18,176.365,172.36,1002483.0,173.5084,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ODFL
